game_id,player_name,total_score,attempt_started
afb47034aaea4cf99a929c00ae148eb0,Louis,17,2026-09-01T09:40:00
19a207ef082c4cd9af81e9d7fdb5326f,Yui,17,2026-09-01T12:37:00
cfcb86b09b5d4298bf1aded422b40cd2,Yui,10,2026-09-01T15:07:00
3fd8cee620bd47df8b361cf9eeb92055,Haru,12,2026-09-01T18:40:00
f8dbe07808054178bfbb0e10155f3512,Patri,18,2026-09-01T21:14:00
80d5ccebefd646c39e5e8666f26e44b0,Louis,14,2026-09-02T00:37:00
593a17673ce74c30a65d6b52989f796b,Haru,10,2026-09-02T03:00:00
cf425a2ea2054bb0973db68a082f8d2f,Haru,12,2026-09-02T06:19:00
4870d1f6169f45cfb6e2027ad34d3778,Yui,5,2026-09-02T09:15:00
1b2e9510bd1149bdb99a6d73d77e9907,Yui,22,2026-09-02T12:34:00
c44caf005afc4107970023cb1ec56942,Louis,16,2026-09-02T15:21:00
e95e6ff955794739b6b723f195f63fcb,Patri,20,2026-09-02T18:03:00
11391ffcc68c4a219e6189a5e656face,Test,0,2026-09-10T15:24:53.868240
